,text
2119,"kyknya kmu ga bahas twitnya deh. tp jurnal2 rujukan di twit Dwi itu. sampai diurai part2-nya. 
Tanpa harus mantengin DPR 24/7, draft RKUHP sdh kmu dpt dan bahas sblmnya bahkan di Youtube. Atau ada draft yg beda? Sprtnya tdk."
2120,"Restorative Justice dalam RKUHP dan RKUHAP
BAPPENAS, Prof Barda, @erasmus70
Tengil tapi bernas is a must @maidina__ @genovevapic.twitter.com/nKik9xyFIR"
2121,"Twit Estiningsih tgl 6 Des. Tp dah dijwb kumplit pake telor dlm 3-4 hr.
Trus apkh RKUHP itu bru disusun 3-4 hr sblm di protes? Tdk."
2122,"Contoh 3: Gap Analysis dari Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) yang Problematik

https://twitter.com/MethodologistID/status/1176385223979724800 …"
2123,"Lha.. Kalau tidak diprotes banyak pihak, pemerintah dan DPR kan sudah hampir bahas revisi UU Permasyarakatan dan RKUHP..??!
Hukuman koruptor bagaimana disana Pak?? 

O eM De O"
2124,Cocok ini. Lagian RKUHP soal korupsi tidak menyebut hukuman mati. Yang ada kan grasi kemarin.
2125,"Menteri Hukum dan HAM diingatkan untuk mematuhi perintah Presiden saat membahas ulang RKUHP. Yakni, perintah untuk melibatkan berbagai elemen publik. 
https://www.validnews.id/Menkumham-Perlu-Tim-Ahli-Bahas-RKUHP-bPZ …"
2126,"Yang akhirnya jerumusin org2 yang percaya sama opininya ke sifat yang disintegrasi  kek masalah demo kemaren ,aku sampe pergi ke perpus kampusku meski aku bukan anak hukum :) aku cari dulu rkuhp nya aku bandingin sama yang di web pemerintah eh ternyataa aku menemukan banyak hal"
2127,Yang not today paling enak pas kemaren mau demo RKUHP beuhh mantep
2128,"Kepercayaan saya pada DPR - RI berkurang selama ini.
Karena apa ? Apa yang diharapkan tapi malah mengecewakan.

Masih membekas di benak publik.
Tentang pasal ngawur di RKUHP kemarin"". 

Jadi pada intinya.
Saya masih cinta sama @psi_id 

Semangattt "
2129,"Menkumham Perlu Tim Ahli Bahas RKUHP

Menkumham diingatkan bentuk roadmap kebijakan pidana

#ValidNihhttps://www.validnews.id/Menkumham-Perlu-Tim-Ahli-Bahas-RKUHP-bPZ …"
2130,"1.PKI itu pengkhianat, dan tdk ada yg menyangkal mrk yg tlh membunuh umat islam di mesjid dan jendral2. teori yg mnyebut mrk tak bersalah pun hanya mengungkap siap dibalik mrk
2. Klo begitu tuntut polsi usut tuntas kemtian org2 saat 212-22 saat demo rkuhp"
2131,Rkuhp
2132,"Gampang bikin orang trigger kita, tinggal ngomong ""ga ada yang salah dari RKUHP"""
2133,"DPR-Pemerintah Sepakati 50 RUU Prolegnas Prioritas 2020, RKUHP Masuk http://detik.id/60PqiV "
2134,"Lha RKUHP saja ditolak kok, padahal banyak pembaruan berdasarkan fenomena2 hukum yg ada tsb"
2135,"hukum, hafal pasal buset anjir yakali ah:( sama satu lg temen w yg beda jurusn pernah nanya soal yg berita rkuhp ke temen sekelas gue trs temen kelas gue males jelasin dan tau dibilang apa ""yah masa anak hukum gatau"" "
2136,"Iya mas jadi saya menafsirkan tulisan mas bahwa hukum adat berlaku lebih tinggi di dalam rkuhp, sdangkan dlam mementukan perkara hukum didasarkan melalaui hirarki undang2 dan asas2 apabila ada ketimpangan peraturan "
2137,"Yups
Ane pernah baca 
sekilas di RKUHP broo"
2138,Prof Barda Prihantin RKUHP tidak Segera Disahkan https://www.jogpaper.net/2019/12/07/prof-barda-prihantin-rkuhp-tidak-segera-disahkan/ …
2139,Gue selalu benci bahasan delik kesusilaan di RKUHP
2140,"Untuk itu Rakyat meminta kpd Yth.
@DPR_RI @Kemenkumham_RI @Kemenag_RI @DivHumas_Polri @mohmahfudmd @PolhukamRI
Agar mengesahkan RKUHP untuk bisa memidanakan para pelaku Propaganda Khilafah krn mereka secara nyata mengancam eksistensi Pancasila & NKRI.
Cc: @jokowi
#HTIAduDombaUmatpic.twitter.com/0YG1IkURTc"
2141,"Untuk itu Rakyat meminta kpd Yth.
@DPR_RI @Kemenkumham_RI @Kemenag_RI @DivHumas_Polri @mohmahfudmd @PolhukamRI
Agar mengesahkan RKUHP untuk bisa memidanakan para pelaku Propaganda Khilafah krn mereka secara nyata mengancam eksistensi Pancasila & NKRI.
Cc: @jokowi
#HTIAduDombaUmatpic.twitter.com/72ByY4uqWD"
2142,"Yang Jadi Pertanyaan adlh Siapa yang Berada di Belakang para ORMAS Penyamun ini ? Apakah Pemerintah Berani Mengesahkan RKUHP Tersebut dan Setelah itu apakah Aparat BERANI Menindak TEGAS mereka ?
Mrk berani sprti itu krn mrk Punya Back Up !"
2143,"Brgkl ada yg ahli posisi hukum adat dalam RKUHP??

Setau ane hukum adat  malah LEBIH DIKUATKAN sbg hukum positif di RKUHP"
2144,"Visi pemidanaan dalam RKUHP tak lagi pemenjaraan, tetapi pemasyarakatan.

#Polhuk #AdadiKompas @rini_rekhttps://kompas.id/baca/utama/2019/12/07/perlindungan-napi-utama/?utm_source=medsos_twitter&utm_medium=link …"
2145,"Belakangan konflik antar kelas (proletariat Vs Borjuasi) di mana-mana mencuat. Iran keos. Iran keos. Lebanon keos. Mesir keos. Inggris keos. Tiongkok keos. Cile keos. Russia keos. 

Lalu, tahun depan RKUHP masuk pada Prolegnas. Jd, semoga keos jg. Sekeos2nya"
2146,"Akhir ikhir ini Indonesia sedang mengami isu politik yang cukup panas. Dari demo tentang penolakan berbagai amandemen RKUHP, hingga sekarang meletus isu tentang adanya masa jabatan yang ingin diperpanjang menjadi 3 periode.
#sampoernauniversity
#warganegara
#pilpres"
2147,"Menkumham Perlu Tim Ahli Bahas RKUHP

Menkumham diingatkan bentuk roadmap kebijakan pidana

#ValidNihhttps://www.validnews.id/Menkumham-Perlu-Tim-Ahli-Bahas-RKUHP-bPZ …"
2148,"1.PKI itu pengkhianat, dan tdk ada yg menyangkal mrk yg tlh membunuh umat islam di mesjid dan jendral2. teori yg mnyebut mrk tak bersalah pun hanya mengungkap siap dibalik mrk
2. Klo begitu tuntut polsi usut tuntas kemtian org2 saat 212-22 saat demo rkuhp"
2149,Rkuhp
2150,"Gampang bikin orang trigger kita, tinggal ngomong ""ga ada yang salah dari RKUHP"""
2151,"DPR-Pemerintah Sepakati 50 RUU Prolegnas Prioritas 2020, RKUHP Masuk http://detik.id/60PqiV "
2152,"Lha RKUHP saja ditolak kok, padahal banyak pembaruan berdasarkan fenomena2 hukum yg ada tsb"
2153,"hukum, hafal pasal buset anjir yakali ah:( sama satu lg temen w yg beda jurusn pernah nanya soal yg berita rkuhp ke temen sekelas gue trs temen kelas gue males jelasin dan tau dibilang apa ""yah masa anak hukum gatau"" "
2154,"Iya mas jadi saya menafsirkan tulisan mas bahwa hukum adat berlaku lebih tinggi di dalam rkuhp, sdangkan dlam mementukan perkara hukum didasarkan melalaui hirarki undang2 dan asas2 apabila ada ketimpangan peraturan "
2155,"Yups
Ane pernah baca 
sekilas di RKUHP broo"
2156,Prof Barda Prihantin RKUHP tidak Segera Disahkan https://www.jogpaper.net/2019/12/07/prof-barda-prihantin-rkuhp-tidak-segera-disahkan/ …
2157,Gue selalu benci bahasan delik kesusilaan di RKUHP
2158,"Untuk itu Rakyat meminta kpd Yth.
@DPR_RI @Kemenkumham_RI @Kemenag_RI @DivHumas_Polri @mohmahfudmd @PolhukamRI
Agar mengesahkan RKUHP untuk bisa memidanakan para pelaku Propaganda Khilafah krn mereka secara nyata mengancam eksistensi Pancasila & NKRI.
Cc: @jokowi
#HTIAduDombaUmatpic.twitter.com/0YG1IkURTc"
2159,"Untuk itu Rakyat meminta kpd Yth.
@DPR_RI @Kemenkumham_RI @Kemenag_RI @DivHumas_Polri @mohmahfudmd @PolhukamRI
Agar mengesahkan RKUHP untuk bisa memidanakan para pelaku Propaganda Khilafah krn mereka secara nyata mengancam eksistensi Pancasila & NKRI.
Cc: @jokowi
#HTIAduDombaUmatpic.twitter.com/72ByY4uqWD"
2160,"Yang Jadi Pertanyaan adlh Siapa yang Berada di Belakang para ORMAS Penyamun ini ? Apakah Pemerintah Berani Mengesahkan RKUHP Tersebut dan Setelah itu apakah Aparat BERANI Menindak TEGAS mereka ?
Mrk berani sprti itu krn mrk Punya Back Up !"
2161,"Brgkl ada yg ahli posisi hukum adat dalam RKUHP??

Setau ane hukum adat  malah LEBIH DIKUATKAN sbg hukum positif di RKUHP"
2162,"Visi pemidanaan dalam RKUHP tak lagi pemenjaraan, tetapi pemasyarakatan.

#Polhuk #AdadiKompas @rini_rekhttps://kompas.id/baca/utama/2019/12/07/perlindungan-napi-utama/?utm_source=medsos_twitter&utm_medium=link …"
2163,"Belakangan konflik antar kelas (proletariat Vs Borjuasi) di mana-mana mencuat. Iran keos. Iran keos. Lebanon keos. Mesir keos. Inggris keos. Tiongkok keos. Cile keos. Russia keos. 

Lalu, tahun depan RKUHP masuk pada Prolegnas. Jd, semoga keos jg. Sekeos2nya"
2164,"Akhir ikhir ini Indonesia sedang mengami isu politik yang cukup panas. Dari demo tentang penolakan berbagai amandemen RKUHP, hingga sekarang meletus isu tentang adanya masa jabatan yang ingin diperpanjang menjadi 3 periode.
#sampoernauniversity
#warganegara
#pilpres"
2165,Laa kmn mahasewa² yg demo bareng ma kau kmrn @Uki23  saat mnlak RKUHP itu. Ap mrk cm bergerak kalo dibayar ya??
2166,"DPR-Pemerintah Sepakati 50 RUU Prolegnas Prioritas 2020, RKUHP Masuk http://detik.id/60PqiV  

Well well UU pemilu PT 20% dan pemilu serentak , masa jabatan presiden , mahar politik. Hulu masalah pejabat klejing @DPR_RI @AdcMenkumham"
2167,"Selama gaada peraturannya tertulis di RKUHP, boleh aja kok :))"
2168,"RKUHP KLO Kmaren ga didemo

Bbrp org Pak RT bisa2 jadi rajin grebek2"
2169,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman http://detik.id/V5wY8x "
2170,Menteri Hukum dan HAM diminta untuk mematuhi perintah Presiden dan membuka kembali pembahasan RKUHP dengan melibatkan berbagai elemen masyarakat. http://dlvr.it/RKmBnb 
2171,DPR Pastikan Pengesahan RKUHP Ditunda http://dlvr.it/RKmBD0 pic.twitter.com/mUWvgxAvrB
2172,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman http://dlvr.it/RKm5bV "
2173,"RKUHP Masuk Prolegnas 2020, BEM UI: Pasal Penghinaan Terhadap Presiden Harus Ditolak! http://dlvr.it/RKlyLF pic.twitter.com/LLmBBPe8ym"
2174,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman https://mandrigunawanberita.wordpress.com/2019/12/06/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman-2/ …"
2175,Presiden Jokowi Ingin semua pasal yang dianggap kontroversial dalam RUU KUHP (RKUHP) dihapus. Akankah Komisi III DPR mengakomodir keinginan Jokowi? https://news.detik.com/berita/4811872/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1575597745 …
2176,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman http://detik.id/V5wY8x "
2177,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman https://mandrigunawanberita.wordpress.com/2019/12/06/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman/ …"
2178,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2179,"Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2180,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2181,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2182,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2183,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2184,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2185,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2186,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2187,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2188,"@null Jokowi Ingin Hapus Semua Pasal Kontroversial RKUHP, Ini Kata Habiburokhman Presi  https://news.detik.com/read/2019/12/06/084418/4811872/10/jokowi-ingin-hapus-semua-pasal-kontroversial-rkuhp-ini-kata-habiburokhman …"
2189,"Kalo RKUHP jadi hukuman gak melulu tentang penjara, ada punishment lain sebagai alternatif. Misal berupa kerja sosial"
2190,"Memang banyak gaya bem ui ini, caper kali kimak, udah waktu tolak rkuhp kemarin gak dibaca dengan jelas, sekarang mau caper lagi"
2191,"Bagaimana yang menghina Rasulullah ?
Yang dianggap mwnghina Wapres saja di tangkap. Kok Menghina Rasulullah belim ada tindakan? 

Ali Sodiq disebut  melanggar pasal 238 ayat 1 RKUHP tentang penghinaan terhadap presiden dan wakil presiden.
 https://amp.suara.com/news/2019/12/05/120840/penghina-wapres-maruf-amin-ditangkap-polisi-pbnu-kita-apresiasi-aparat?__twitter_impression=true …"
2192,"@null Agar RKUHP Tak Bikin Gaduh Lagi, DPR Diminta Jemput Aspirasi Universitas Fickar   https://news.detik.com/read/2019/12/06/050744/4811810/10/agar-rkuhp-tak-bikin-gaduh-lagi-dpr-diminta-jemput-aspirasi-universitas …"
2193,"Agar RKUHP Tak Bikin Gaduh Lagi, DPR Diminta Jemput Aspirasi Universitas https://mandrigunawanberita.wordpress.com/2019/12/06/agar-rkuhp-tak-bikin-gaduh-lagi-dpr-diminta-jemput-aspirasi-universitas/ …"
2194,"RKUHP Masuk Prolegnas 2020, BEM UI Tolak Pasal Kontroversial https://mandrigunawanberita.wordpress.com/2019/12/06/rkuhp-masuk-prolegnas-2020-bem-ui-tolak-pasal-kontroversial/ …"
2195,"@null RKUHP Masuk Prolegnas 2020, BEM UI Tolak Pasal Kontroversial Salah satu pasal ya  https://news.detik.com/read/2019/12/06/050058/4811794/10/rkuhp-masuk-prolegnas-2020-bem-ui-tolak-pasal-kontroversial …"
2196,"@null RKUHP Masuk Prolegnas 2020, BEM UI Tolak Pasal Kontroversial Salah satu pasal ya  https://m.detik.com/read/2019/12/06/050058/4811794/10/rkuhp-masuk-prolegnas-2020-bem-ui-tolak-pasal-kontroversial …"
2197,"sejak isu RKUHP naik, banyak indo/alfa yang ga jual kondom. apa cuma ga didisplay aja???"
2198,"BAB II TINDAK PIDANA TERHADAP MARTABAT PRESIDEN DAN WAKIL PRESIDEN (RKUHP)

Pasal 220 (1)  Tindak  Pidana sebagaimana dimaksud dalam Pasal  218  dan Pasal  219 hanya dapat dituntut berdasarkan aduan. pic.twitter.com/2ldz5Zxt5H"
2199,"50 RUU masuk prioritas DPR, termasuk RKUHP
https://www.aa.com.tr/id/nasional/50-ruu-masuk-prioritas-dpr-termasuk-rkuhp/1664718 …"
2200,"DPR- Pemerintah sepakati 50  RUU prolegnas prioritas 2020. Salah satunya RKUHP.  Awasi lagi, jangan sampai ditelikung  https://m.detik.com/news/berita/d-4810956/dpr-pemerintah-sepakati-50-ruu-prolegnas-prioritas-2020-rkuhp-masuk?single=1 …"
2201,"Karena gue nggak setuju dengan RKUHP, maka gue juga nggak setuju kalau Habib Jafar Shodiq dipidanakan~"
2202,Mlanggar RKUHP 
2203,#Foto DPR dan pemerintah menyepakati 50 RUU prioritas 2020. Salah satu usulan RUU yang menjadi Prolegnas prioritas 2020 adalah RKUHP. #RUU #RUUKUHPhttps://news.detik.com/foto-news/d-4811140/rkuhp-masuk-50-ruu-prolegnas-prioritas-2020?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1575539553 …
2204,"DPR-Pemerintah Sepakati 50 RUU Prolegnas Prioritas 2020, RKUHP Masuk https://mandrigunawanberita.wordpress.com/2019/12/05/dpr-pemerintah-sepakati-50-ruu-prolegnas-prioritas-2020-rkuhp-masuk/ …"
2205,Apa saja pasal pada RKUHP yang dibahas ulang nantinya? http://dlvr.it/RKhzXd 
2206,"#Menteri Hukum dan HAM Yasonna Laoly menyatakan, pemerintah bakal lebih memprioritaskan pembahasan omnibus law daripada Rancangan KUHP (#RKUHP).
#Menkumham #Hukum #UndangUndang #OmnibusLaw.

#Baca @kompascom https://nasional.kompas.com/read/2019/12/05/12283021/pemerintah-lebih-memprioritaskan-omnibus-law-ketimbang-rkuhp …"
2207,di poster demo tolak RKUHP
2208,"Penghina Wapres Ma'ruf Amin Ditangkap Polisi, PBNU: Kita Apresiasi Aparat

Sejumlah orang juga menilai, isi ceramah tersebut tidak sopan dan melanggar pasal 238 ayat 1 RKUHP tentang penghinaan terhadap presiden dan wakil presiden.

#HukumBeratJafarShodiqhttps://m.suara.com/news/2019/12/05/120840/penghina-wapres-maruf-amin-ditangkap-polisi-pbnu-kita-apresiasi-aparat …"
2209,"Yang sabtu ini ada di sekitaran Jogja, kita kritisi bareng RKUHP yok

Kita bikin seru  pic.twitter.com/FcWDj3IB7z"
2210,"Penghina Wapres Ma'ruf Amin Ditangkap Polisi, PBNU: Kita Apresiasi Aparat

Sejumlah orang juga menilai, isi ceramah tersebut tidak sopan dan melanggar pasal 238 ayat 1 RKUHP tentang penghinaan terhadap presiden dan wakil presiden.

#HukumBeratJafarShodiq https://m.suara.com/news/2019/12/05/120840/penghina-wapres-maruf-amin-ditangkap-polisi-pbnu-kita-apresiasi-aparat …"
2211,Apa saja pasal pada RKUHP yang dibahas ulang nantinya? http://dlvr.it/RKhksy 
2212,"kader banteng lama2 kalo fanatis ngalah2in Kpopers garis keras, yg kayak begini mengkritik pemerintah mau dimasukin dalil RKUHP bukan salah demonstran tumpah kejalan kemarin"
2213,"RKUHP Masuk Lagi, Ini 15 RUU Prioritas Usulan Pemerintah di 2020 https://mandrigunawanberita.wordpress.com/2019/12/05/rkuhp-masuk-lagi-ini-15-ruu-prioritas-usulan-pemerintah-di-2020/ …"
2214,"Semarang, 5 Desember 2019
YM. Ibu Ketua Pengadilan Tinggi Jawa Tengah, Dr. H. Sri Sutatiek, S.H, M.Hum menghadiri undangan Seminar Nasional dari Universitas Islam Sultan Agung dengan Tema "" Menakar isi kandungan RKUHP demi kebutuhan berbangsa dan bernegara"". pic.twitter.com/hG9FG2Yawh"
2215,"Menurut saya sih bukan kurang malam. 
Tapi sepertinya RKUHP yg dibatalkan, seakan2 hidup dgn sendirinya. Jadi yg boleh melakukan itu, hanya pemerintah saja. Wtf "
2216,"RUU Prioritas 2020 Diusulkan, Ada RKUHP, Pemasyaratakan, Minerba, hingga Pemilu|http://bit.ly/2rTQp5u "
2217,"Sudahlah Pk, Bpk Presiden Bpk Wkl Persiden beliau2 ini pemimpin yg patuh atas tuntunan Rasulullah SAW kalau pipi kiri dipukul org maka berikan pipi kananmu, sngat pemaaf & sabar.! Kecuali Pasal Penghinaan Presiden, Pemerintah Bahas Ulang RKUHP http://po.st/WVmmQK  lewat @po_st"
2218,"RUU Prioritas 2020 Diusulkan, Ada RKUHP, Pemasyaratakan, Minerba, hingga Pemilu
http://kabar24.bisnis.com/read/20191204/15/1177967/ruu-prioritas-2020-diusulkan-ada-rkuhp-pemasyaratakan-minerba-hingga-pemilu …"
2219,"kulo niki asli lare semarang mas. jadi, cukup paham ingkang jenengan maksud niku. sampunlah mas, mboten usah ngeles. anda itu salah mengutip RKUHP utk menakut²i mas narpatisuta dan para pengkritik presiden. anda diketawain. mudah²an masnya diberikan kemudahan. nuwun"
2220,"RUU Prioritas 2020 Diusulkan, Ada RKUHP, Pemasyaratakan, Minerba, hingga Pemilu http://bit.ly/2sCYoUO "
2221,"Hati-hati ditangkap pak Polisi

#RKUHP  https://twitter.com/VeronicaKoman/status/1202186047263657984 …"
2222,"Memang pemerintah ini ingin memiskinkan rakyat sih, liat aja itu BPJS wajib ikut dan klo gak bayar gak dikasih ijin usaha, di RKUHP gelandangan malah mau didenda

Kebijakan kayak gini masuk akal?"
2223,"@UjangBustomi 
Jafar Shodiq Alattas sebut KH Ma'ruf Amin adalah Ustadz *******
Astaghfirullah,
Link : https://youtu.be/76QVryBzXf4 
Nomor kontak Jafar Shodiq +6289671300818
Pasal penghinaan presiden diatur dalam Pasal 239 ayat (1) RKUHP. menghina presiden dan wapres, dipidana 5 thn"
2224,"Dijawab dulu kepanjangan R dari RKUHP apa ?jangan2 anda percaya klo R itu rendang,konteks awalnya itu"
2225,"RKUHP
R itu Rancangan bukan Rengginang ya https://twitter.com/YoSetiabudi/status/1202061341797670913 …"
2226,"Maaf kawan2,saya mahasiswa dari Fakultas Hukum. Bukan bermaksud membela tapi,penggunaan pasalnya itu keliru. Karena pasal yang saudara bilang itu masih RKUHP,yaitu Rancangan kitab undang2 hukum pidana. Yang dimana berarti belum sah. Kalo mau dilaporkan ya,pake pasal penghinaan."
2227,Sudah dijelaskan kepanjangan R di RKUHP masih saja ga paham ? Atau anda percaya saja klo kepanjangannya Rendang ?  yg lebih bloon itu yg memilih dan mendukungnya lgi 
2228,"Hei, itu pasal di RKUHP. Kamu tau kepanjangan R di situ? Rendang.

Tobatlah, jadi cebongtropus gak bikin you berkembang jadi pinter. Junjunganmu di sana mostly bloon. https://twitter.com/YoSetiabudi/status/1202061341797670913 …"
2229,"Koq RKUHP,  Mbah???"
2230,"Gimana cewenya jg, udah tau punya bini, disamperin tetep mauan, tetep aj ""pelakor*, RKUHP nya bakal ketok palu, bisa 5 tahun kl kena jerat, begitu jg ""pebinor"", nikmatilah sblm dikurung, lama looooh gak ngasah & diasah kl kena jerat."
2231,Makanya pasal rkuhp tuh yg jelas!!! Bentuk penghinaan presiden tuh indikasinya apa aja biar gak multi tafsir. Dongo
2232,ga boleee tar kena rkuhp
2233,"Pasal penghinaan presiden diatur dalam Pasal 239 ayat (1) RKUHP. Disebutkan bahwa setiap orang di muka umum menghina presiden dan wapres, dipidana dengan pidana penjara paling lama 5 tahun atau pidana denda paling banyak Kategori IV (Rp500 juta). Monggo 
@divisihumaspolri https://twitter.com/mbahCokro77/status/1201903355368357898 …"
2234,Nasib RKUHP dan RUU PKS Masih Mengambang https://medcom.id/s/5b2A6n4N pic.twitter.com/ity0eXbcJe
2235,Gagasan pelihara ayam atasi stunting bertentangan dengan RKUHP tentang unggas http://republika.co.id/berita/retizen/surat-pembaca/19/12/03/q1xjf4349-menguji-rasionalitas-ayam-atasi-stunting …
2236,Laiyo gk tek dukun2an kenek rkuhp soale
2237,Parvais Jabbar of @DeathPenaltyP at the University of Indonesia human rights festival urges law makers to consider new evidence and independent research when making legislative decisions particularly regarding the death penalty #humanrights #RKUHP #hukumanmatipic.twitter.com/AmEuh7mgi7 – di FISIP University of Indonesia
2238,"Mantap temanya, nanti ada rekonsiliasi RKUHP :'))))) ada kak manik juga pic.twitter.com/6leHNg2U4T"
2239,O ya? Pasal berapa d rkuhp?
2240,"rkuhp kepanjangannya apa ya mas? RANCANGAN. hukum ada asas non-retroaktif, kalo iya rkuhp di sahin bsk, terus lu mau laporin jg gak bisa hhhHHHHH plus harusnya lu jg ngebantu agama satunya dong. kan lu pejuang keadilan kan?"
2241,"Sy tidak merasa menyuarakan keadilan, mereka gabahas BPJS soalnya, RKUHP gapenting, malah sy mendukung RKUHP."
2242,"Ya gue mewakilkan agama gue dong, gue bukan tersindir untuk orang lain. Ya kalau agama lain ga tersindir ya urusan mereka bukan urusan gue. Pasal penghinaan agama RKUHP  Bab VII ""Tindak Pidana terhadap Agama dan Kehidupan Beragama"". Pasal 341 lo baca di google juga gampang kan."
2243,RKUHP membuat Indonesia menjadi kacau
2244,RKUHP bisa menjerat siapa saja ke dalam penjara.
2245,"hukum koruptor diringankan menjadi 2 tahun di pasal RKUHP, kan enak koruptornya"
2246,"pintar juga DPR membuat RKUHP, karena banyak anggota DPR yang terkena kasus korupsi"
2247,DPR lagi ngelucu dengan RKUHP nya..
2248,siap siap mini market yang menjual alat kontrasepsi akan kena pasal RKUHP
2249,RKUHP ngawur banget
2250,RKUHP digunakan untuk menyiksa rakyat kecil
2251,emang harus ya pasal RKUHP tentang santet?
2252,hapus pasal pasal RKUHP anti demokrasi
2253,"Wah iya, bener. Barusan dikasih contoh sama @erasmus70 bahwa twit gue di gambar ini berpotensi dipidana jika RKUHP disahkan. Ngeri. pic.twitter.com/kkhRBNGBQN"
2254,"Prittt promosi alat kontrasepsi di twitter, ada anak2 di sini, anda dipidana! 

#RKUHP https://twitter.com/MuhadklyAcho/status/1201385972111302657 …"
2255,mengapa RKUHP harus dibikin akhir periode?
2256,pasal RKUHP di buat untuk melemahkan KPK
2257,RKUHP macam apa ini? ayam masuk kebun aja kena denda
2258,sampai kapan revisi RKUHP harus diundur
2259,"ngapain anak SMK ikutan demo RKUHP?, bikin rusuh aja"
2260,yang bikin pasal RKUHP lulusan S2 Perdukunan
2261,pasal RKUHP hanya menguntungkan kalangan atas bukan kalangan bawah
2262,pasal RKUHP sangat merugikan KPK
2263,RKUHP harusnya membantu persalinan dari pasien yang dilarang aborsi
2264,emangnya ada ya praktik legal dari aborsi? RKUHP Taunya darimana
2265,"RKUHP melarang aborsi, makanya urusan kumpul kebo juga dilarang, paham ga sih? niatnya tuh baik"
2266,"kalo aborsi legal, tetep kena RKUHP ga ya? pasal karet nih"
2267,nilai keagamaan dari RKUHP turut berperan soal larangan aborsi
2268,RKUHP mengedepankan keselamatan
2269,"kalo rumah sakit bikin praktik aborsi, kena RKUHP apa kaga ya, harus adil dong"
2270,"RKUHP turut menaikan angka kelahiran karena larangan aborsi, huh payah"
2271,RKUHP menyelamatkan nyawa janin tak bersalah
2272,"RKUHP bikin praktek aborsi pada diem diem semua, gimana sih kerja pemerintah"
2273,pasal karet RKUHP bikin tukang santet bingung nih
